SN408277,CMP,151,87,7,Programming 1 (Java)
SN744772,CMP,151,F,7,Programming 1 (Java)
SN405438,MTH,101,95,4,Discrete Mathematics
SN464730,COP,200,F,16,Co-op Workterm
SN494141,PRJ,190,81,6,Practicum
SN492397,CMP,101,91,4,Computational Logic
SN090888,CMP,252,83,4,Programming 2 (Java)
SN427471,BUS,172,52,4,Business
SN493913,CMP,151,87,7,Programming 1 (Java)
SN496965,ENG,101,80,4,Intro to Communications
SN429861,CMP,151,88,7,Programming 1 (Java)
SN415046,MTH,101,84,4,Discrete Mathematics
SN214645,ENG,101,WD,4,Intro to Communications
SN428585,MTH,201,W,4,Discrete Mathematics 6
SN786469,CMP,101,92,4,Computational Logic
SN415751,CMP,104,80,3,Programming 1 (Python)
SN420223,MTH,101,70,4,Discrete Mathematics
SN791247,CMP,102,86,4,Web Development
SN090888,SKL,001,P,1,Study Skills
SN745429,PRJ,190,89,6,Practicum
SN423104,BUS,172,78,4,Business
SN416008,CMP,151,85,7,Programming 1 (Java)
SN714378,CMP,102,57,4,Web Development
SN494154,ENG,101,78,4,Intro to Communications
SN455733,SKL,001,P,1,Study Skills
SN493265,MTH,101,88,4,Discrete Mathematics
SN279643,MTH,101,92,4,Discrete Mathematics
SN424240,MTH,101,90,4,Discrete Mathematics
SN494154,PRJ,190,85,6,Practicum
SN419462,CMP,102,84,4,Web Development
SN473547,CMP,102,72,4,Web Development
SN408413,MTH,101,53,4,Discrete Mathematics
SN495855,CMP,104,79,3,Programming 1 (Python)
SN727800,ENG,101,81,4,Intro to Communications
SN473547,SKL,001,P,1,Study Skills
SN707423,BUS,172,76,4,Business
SN405350,PRJ,190,96,6,Practicum
SN416008,ENG,101,87,4,Intro to Communications
SN712520,SKL,001,P,1,Study Skills
SN405438,SKL,001,P,1,Study Skills
SN427471,SKL,001,P,1,Study Skills
SN407469,BUS,172,82,4,Business
SN429084,CMP,102,97,4,Web Development
SN495593,MTH,101,89,4,Discrete Mathematics
SN426639,MTH,101,92,4,Discrete Mathematics
SN420036,MTH,101,W,4,Discrete Mathematics
SN411178,BUS,172,77,4,Business
SN420501,CMP,101,67,4,Computational Logic
SN735764,BUS,172,83,4,Business
SN407527,BUS,172,76,4,Business
SN496965,PRJ,190,84,6,Practicum
SN425906,MTH,101,83,4,Discrete Mathematics
SN427163,PRJ,190,87,6,Practicum
SN400091,CMP,102,88,4,Web Development
SN090888,CMP,101,93,4,Computational Logic
SN400445,CMP,102,87,4,Web Development
SN495855,CMP,151,45,7,Programming 1 (Java)
SN454194,PRJ,190,88,6,Practicum
SN425906,CMP,151,90,7,Programming 1 (Java)
SN407272,CMP,101,93,4,Computational Logic
SN493265,SKL,001,P,1,Study Skills
SN419462,SKL,001,P,1,Study Skills
SN425438,SKL,001,P,1,Study Skills
SN407009,CMP,101,95,4,Computational Logic
SN498706,CMP,105,70,3,Programming 1 (Javascript)
SN436343,CMP,258,73,4,Programming 2 (C++)
SN728125,BUS,172,W,4,Business
SN492397,CMP,151,78,7,Programming 1 (Java)
SN735764,SKL,001,P,1,Study Skills
SN255487,CMP,101,82,4,Computational Logic
SN464730,CMP,301,80,4,Analysis and Design
SN422133,ENG,101,80,4,Intro to Communications
SN494154,CMP,151,80,7,Programming 1 (Java)
SN407527,ENG,101,73,4,Intro to Communications
SN473547,PRJ,190,89,6,Practicum
SN473547,BUS,172,72,4,Business
SN424145,MTH,101,94,4,Discrete Mathematics
SN408277,CMP,101,93,4,Computational Logic
SN714378,ENG,101,38,4,Intro to Communications
SN422635,MTH,101,97,4,Discrete Mathematics
SN406516,CMP,151,90,7,Programming 1 (Java)
SN495855,MTH,101,W,4,Discrete Mathematics
SN727800,MTH,101,92,4,Discrete Mathematics
SN427163,CMP,106,79,5,Database Systems
SN407469,MTH,101,99,4,Discrete Mathematics
SN744772,SKL,001,P,1,Study Skills
SN420713,CMP,102,82,O,Web Development
SN425438,PRJ,190,76,6,Practicum
SN400091,SKL,001,P,1,Study Skills
SN423104,CMP,102,96,4,Web Development
SN420223,SKL,001,P,1,Study Skills
SN425438,BUS,172,55,4,Business
SN404016,CMP,252,W,4,Programming 2 (Java)
SN408413,CMP,102,63,4,Web Development
SN473939,CMP,106,36,5,Database Systems
SN735346,MTH,101,68,4,Discrete Mathematics
SN493913,CMP,101,87,4,Computational Logic
SN498706,CMP,104,69,3,Programming 1 (Python)
SN483379,ENG,101,52,4,Intro to Communications
SN424240,CMP,102,93,4,Web Development
